AIMContributor,Score,Blacklist,Contributor,Status,"top_channel","top_contributor"
"routes_EQN_OUT_INV_QUEUE_INSTANTPAYMENTS_RABOBANK_ORIGINATOR_INVESTIGATION_REQUEST_30178_30179_BYTES","21.141052","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","ROUTES_EQN_OUT_INV_QUEUE_INSTANTPAYMENTS_RABOBANK_ORIGINATOR_INVESTIGATION_REQUEST_30178_30179_BYTES",Severe,routes,"EQN_OUT_INV_QUEUE_INSTANTPAYMENTS_RABOBANK_ORIGINATOR_INVESTIGATION_REQUEST_30178_30179_BYTES"
"database_DB3_WAIT_LOG_FILE_SYNC_COUNT","21.577686","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT",Blacklist,database,"DB3_WAIT_LOG_FILE_SYNC_COUNT"
"platform_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","23.586441","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE",Blacklist,platform,"TIMINGS_UPF_RECEIVED_TIME_AVERAGE"
"switch3_PMI_SWITCH_COMPLETED","28.859741","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","SWITCH3_PMI_SWITCH_COMPLETED",Blacklist,switch3,"PMI_SWITCH_COMPLETED"
"switch2_PMI_SWITCH_COMPLETED","29.527771","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","SWITCH2_PMI_SWITCH_COMPLETED",Blacklist,switch2,"PMI_SWITCH_COMPLETED"
"switch1_PMI_SWITCH_COMPLETED","30.516422","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","SWITCH1_PMI_SWITCH_COMPLETED",Blacklist,switch1,"PMI_SWITCH_COMPLETED"
"switch4_PMI_SWITCH_COMPLETED","31.457335","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","SWITCH4_PMI_SWITCH_COMPLETED",Blacklist,switch4,"PMI_SWITCH_COMPLETED"
"database_DB2_WAIT_LOG_FILE_SYNC_COUNT","35.320461","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT",Blacklist,database,"DB2_WAIT_LOG_FILE_SYNC_COUNT"
"routes_ROM_RQ_CHN_30100_30100_RESPONSE_TIME","60.199760","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","ROUTES_ROM_RQ_CHN_30100_30100_RESPONSE_TIME",Healthy,routes,"ROM_RQ_CHN_30100_30100_RESPONSE_TIME"
"platform_TIMINGS_GPS_DEBIT_TIME_AVERAGE","61.662506","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","PLATFORM_TIMINGS_GPS_DEBIT_TIME_AVERAGE",Healthy,platform,"TIMINGS_GPS_DEBIT_TIME_AVERAGE"
"database_DB3_COMMIT_MAX","77.035309","SWITCH1_PMI_SWITCH_COMPLETED,SWITCH2_PMI_SWITCH_COMPLETED,SWITCH3_PMI_SWITCH_COMPLETED,SWITCH4_PMI_SWITCH_COMPLETED,DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT,DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT,PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","DATABASE_DB3_COMMIT_MAX",Healthy,database,"DB3_COMMIT_MAX"
