Contributor,Score
"ROUTES_EQN_OUT_INV_QUEUE_INSTANTPAYMENTS_RABOBANK_ORIGINATOR_INVESTIGATION_REQUEST_30178_30179_BYTES","18.503201"
"DATABASE_DB3_WAIT_LOG_FILE_SYNC_COUNT","22.121901"
"PLATFORM_TIMINGS_UPF_RECEIVED_TIME_AVERAGE","23.405243"
"SWITCH3_PMI_SWITCH_COMPLETED","31.244171"
"SWITCH2_PMI_SWITCH_COMPLETED","31.342966"
"SWITCH1_PMI_SWITCH_COMPLETED","33.192017"
"SWITCH4_PMI_SWITCH_COMPLETED","33.393501"
"DATABASE_DB2_WAIT_LOG_FILE_SYNC_COUNT","33.478664"
"PLATFORM_TIMINGS_GPS_DEBIT_TIME_AVERAGE","47.930401"
"PLATFORM_TIMINGS_GPS_CREDIT_TIME_AVERAGE","59.809887"
"ROUTES_ROM_RQ_CHN_30100_30100_RESPONSE_TIME","66.936897"
"DATABASE_DB3_COMMIT_MAX","76.808701"
"PLATFORM_TIMINGS_GPS_POSTING_TIME_AVERAGE","76.992905"
"ICEXS_LSRV0475_TO_LSRV2708_CONNECTION_ESTABLISHED","77.206276"
"DATABASE_DB3_COMMIT_COUNT","81.865814"
"DATABASE_DB2_WAIT_LOG_FILE_SYNC_TIME","82.918289"
"DATABASE_DB2_TABLE_CHECKPOINT3_INSERT_MAX","84.270576"
"SWITCH4_DSTATS_PROCESSES_NEW","85.096657"
"PLATFORM_TIMINGS_EQUENS_CONFIRMATION_TIME_AVERAGE","87.576004"
"ICEXS_LSRV0474_DSTATS_CPU_SYSTEM","90.320114"
"PLATFORM_TIMINGS_EQUENS_SETTLEMENT_TIME_AVERAGE","90.590248"
"ICEXS_LSRV0474_DSTATS_CPU_IDLE","90.767220"
"SWITCH3_DSTATS_PROCESSES_NEW","91.069679"
"DATABASE_DB3_WAIT_BUFFER_BUSY_TIME","91.282608"
"SWITCH1_DSTATS_PROCESSES_NEW","91.310692"
"ICEXS_LSRV0472_DSTATS_CPU_SYSTEM","91.572830"
"PLATFORM_TIMINGS_GPS_AUTHORIZATION_TIME_AVERAGE","91.717125"
"ICEXS_LSRV0472_DSTATS_CPU_IDLE","92.593643"
"ICEXS_LSRV0474_TO_LSRV2706_CONNECTION_ESTABLISHED","92.775642"
"DATABASE_DB4_TABLE_CHECKPOINT3_INSERT_MAX","93.062050"
"DATABASE_DB1_TABLE_CHECKPOINT3_INSERT_MAX","93.263298"
"ICEXS_LSRV0475_DSTATS_CPU_SYSTEM","93.322121"
"PLATFORM_CHN_API_ACTC","93.894287"
"PLATFORM_INBOUND_ABNAMRO_RJCT","94.023254"
"DATABASE_DB2_COMMIT_COUNT","94.056320"
"DATABASE_DB4_COMMIT_MAX","94.355431"
"PLATFORM_CHN_API_RJCT","94.725197"
"ICEXS_LSRV0468_DSTATS_CPU_IDLE","95.764938"
"SWITCH4_PMI_SWITCH_MEMORY_LOAD","95.813820"
"ICEXS_LSRV0468_DSTATS_CPU_SYSTEM","96.000938"
"PLATFORM_INBOUND_ING_ACTC","96.292122"
"ROUTES_GPS_DBT_BKNG_BETALENPF_30110_30210_QUEUE_DEPTH","96.533211"
"ICEXS_LSRV0470_DSTATS_CPU_IDLE","96.575790"
"DATABASE_DB4_BUSY","96.628220"
"SWITCH3_PMI_SWITCH_MEMORY_LOAD","96.825806"
"PLATFORM_INBOUND_KNAB_ACTC","96.876358"
"PLATFORM_TIMINGS_FRAUD_TIME_PERCENTILE","96.934380"
"PLATFORM_FRAUD_STOP","97.184242"
"ICEXS_LSRV0470_DSTATS_CPU_SYSTEM","97.256645"
"ROUTES_GPS_CRD_TIPS_SAF_CHN_30125_30225_CONNECTIONS","97.326645"
"SWITCH3_PMI_EQN_IN_TC_CHN_TX_RATE","97.396362"
"DATABASE_DB1_WAIT_BUFFER_BUSY_TIME","97.431564"
"DATABASE_DB2_COMMIT_MAX","97.446022"
"ROUTES_EQN_IN_NTC_QUEUE_INSTANTPAYMENTS_RABOBANK_BENEFICIARY_PAYMENT_RESPONSE_30166_30167_QUEUE_DEPTH","98.038361"
"SWITCH4_PMI_GPS_CRD_AUTH_CHN_TX_RATE","98.167961"
"PLATFORM_TIMINGS_GPS_POSTING_TIME_PERCENTILE","98.221436"
"SWITCH3_PMI_GPS_CRD_AUTH_CHN_TX_RATE","98.283035"
"ICEXS_LSRV0475_DSTATS_CPU_USER","98.290756"
"SWITCH4_PMI_GPS_CRD_AUTH_CHN_RX_RATE","98.305176"
"ROUTES_GPS_DBT_BKNG_SAF_BETALENPF_30111_30211_RESPONSE_TIME","98.359375"
"SWITCH3_PMI_GPS_CRD_AUTH_CHN_RX_RATE","98.472122"
"DATABASE_DB4_COMMIT_COUNT","98.640480"
"ROUTES_WLM_RSLN_INBOUND_30151_30251_CONNECTIONS","98.698135"
"SWITCH2_PMI_EQN_IN_TC_CHN_TX_RATE","98.716393"
"SWITCH2_DSTATS_PROCESSES_NEW","98.719643"
"SWITCH2_PMI_GPS_CRD_AUTH_CHN_TX_RATE","98.879379"
"SWITCH3_DSTATS_CPU_IDLE","98.956650"
"ROUTES_RISKSHIELD_ACV_INBOUND_10142_10242_CONNECTIONS","98.972816"
"SWITCH2_PMI_SWITCH_MEMORY_LOAD","99.027260"
"PLATFORM_CHN_BZK_RJCT","99.056717"
"SWITCH1_PMI_EQN_IN_TC_CHN_TX_RATE","99.058243"
"DATABASE_DB2_WAIT_SQLNET_MESSAGE_TO_CLIENT_TIME","99.091171"
"SWITCH2_PMI_GPS_CRD_AUTH_CHN_RX_RATE","99.095924"
"SWITCH1_PMI_GPS_CRD_AUTH_CHN_TX_RATE","99.114075"
"SWITCH1_PMI_GPS_CRD_POST_CHN_RX_RATE","99.154076"
"SWITCH2_PMI_WLM_CHK_CHN_TX_RATE","99.200699"
"SWITCH1_PMI_EQN_IN_TC_CHN_RX_RATE","99.212357"
"SWITCH1_PMI_GPS_CRD_AUTH_CHN_RX_RATE","99.242111"
"DATABASE_DB1_TABLE_IPF_TRANSLOG_SELECT_COUNT","99.297089"
"ROUTES_GPS_CRD_BKNG_BETALENPF_30120_30220_QUEUE_DEPTH","99.327049"
"PLATFORM_STATUS_PDNG_U155","99.335358"
"SWITCH2_PMI_EQN_IN_CONF_CHN_RX_RATE","99.371735"
"SWITCH4_LATENCY_BUCKET_0600","99.402100"
"SWITCH2_PMI_SESSION_REQUEST_LATENCY","99.409790"
"SWITCH3_LATENCY_BUCKET_1200","99.416412"
"SWITCH2_PMI_GPS_CRD_POST_CHN_TX_RATE","99.417534"
"SWITCH4_PMI_SWITCH_MEMORY_USED","99.431969"
"DATABASE_DB1_WAIT_LOG_FILE_SYNC_TIME","99.433311"
"SWITCH2_PMI_GPS_CRD_BKNG_CHN_RX_RATE","99.437286"
"ICEXS_LSRV0473_DSTATS_CPU_IDLE","99.472420"
"SWITCH3_PMI_EQN_IN_TC_CHN_RX_RATE","99.491600"
"SWITCH3_PMI_GPS_CRD_POST_CHN_TX_RATE","99.493011"
"PLATFORM_INBOUND_ING_RJCT","99.517319"
"SWITCH1_PMI_GPS_CRD_POST_CHN_TX_RATE","99.528564"
"SWITCH3_PMI_GPS_CRD_POST_CHN_RX_RATE","99.535225"
"PLATFORM_STATUS_PDNG_U902","99.556664"
"SWITCH2_PMI_GPS_CRD_POST_CHN_RX_RATE","99.565575"
"DATABASE_DB3_TABLE_CHECKPOINT3_INSERT_MAX","99.609734"
"SWITCH4_PMI_EQN_IN_CONF_CHN_RX_RATE","99.659866"
"SWITCH2_PMI_EQN_IN_TC_CHN_RX_RATE","99.703575"
