Contributor,Score
"SWITCH1_DSTATS_DISK_WRITE","0.000000"
"SWITCH1_PMI_SWITCH_TIMERS","0.000000"
"SWITCH2_DSTATS_CPU_WAIT","0.000000"
"SWITCH2_PMI_SWITCH_TIMERS","0.000000"
"SWITCH3_DSTATS_CPU_WAIT","0.000000"
"SWITCH3_PMI_SWITCH_TIMERS","0.000000"
"SWITCH2_DSTATS_DISK_WRITE","0.991166"
"SWITCH4_DSTATS_DISK_WRITE","9.805668"
"SWITCH1_DSTATS_CPU_WAIT","16.003477"
"SWITCH4_DSTATS_CPU_WAIT","16.454304"
"SWITCH3_DSTATS_DISK_WRITE","17.846870"
"PLATFORM_TIMINGS_UPF_TIME_AVERAGE","59.263580"
"PLATFORM_CHN_BZK_ACTC","69.462494"
"SWITCH3_DSTATS_PAGING_IN","78.356110"
"SWITCH3_DSTATS_DISK_READ","78.789314"
"DATABASE_DB4_TABLE_SUSPENDED_SESS2_INSERT_TIME","81.474243"
"SWITCH4_PMI_EQN_OUT_TC_CHN_TX_RATE","83.274826"
"DATABASE_DB2_TABLE_SUSPENDED_SESS2_INSERT_COUNT","83.714828"
"PLATFORM_CHN_MBK_PDNG","85.081940"
"DATABASE_DB4_TABLE_SUSPENDED_SESS2_INSERT_COUNT","86.434708"
"ICEXS_LSRV0473_CONNECTION_TERMINATES","86.765129"
"DATABASE_DB1_TABLE_SUSPENDED_SESS2_INSERT_TIME","87.029160"
"DATABASE_DB2_TABLE_SUSPENDED_SESS2_INSERT_TIME","87.080208"
"DATABASE_DB4_TABLE_SUSPENDED_SESS2_INSERT_MAX","87.188148"
"SWITCH4_LATENCY_BUCKET_0400","87.384888"
"SWITCH4_DSTATS_DISK_READ","87.451744"
"DATABASE_DB1_TABLE_SUSPENDED_SESS2_INSERT_COUNT","87.549034"
"SWITCH4_PMI_EQN_OUT_TC_CHN_RX_RATE","88.445824"
"SWITCH2_PMI_EQN_OUT_TC_CHN_TX_RATE","88.486389"
"DATABASE_DB3_TABLE_SUSPENDED_SESS2_INSERT_COUNT","88.730576"
"PLATFORM_FRAUD_GO","88.755814"
"DATABASE_DB2_TABLE_IPF_TRANSLOG_SELECT_MAX","89.247612"
